"ID","Graph_Name","Label","Skill_Developed","URL","Notes"
2HHC-01,mov_01_sidetoside,"Side to Side\nSwing","ELBOWS LOCKED","https://www.youtube.com/watch?v=LMau5vr7qx4&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds",
2HHC-02,mov_02_sideswinglowtohigh,"Side Swing\nLow to High",,"https://www.youtube.com/watch?v=NoZCHTlmrCg&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=2",
2HHC-03,mov_03_hangsidelowtohigh,"Hang Side Swing\nLow to High","LEG DRIVE & HIP SNAP","https://www.youtube.com/watch?v=RD1zOWaTjhQ&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=3",
2HHC-04,mov_04_deadclean,"Dead Clean","ORDER POSITION","https://www.youtube.com/watch?v=69RGME9RTcY&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=4",
2HHC-05,mov_05_insidecircle,"Inside Circle",,"https://www.youtube.com/watch?v=Mh6iWcLbE3k&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=5",
2HHC-06,mov_06_outsidecircle,"Outside Circle",,"https://www.youtube.com/watch?v=QzMzCal-MYM&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=6",
2HHC-07,mov_07_pullover,"Pullover","CLUB BEHIND HEAD","https://www.youtube.com/watch?v=jpIn1Sumg78&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=7",
2HHC-08,mov_08_backpossidetoside,"Back Position\nSide to Side Swing","SWING BEHIND HEAD","https://www.youtube.com/watch?v=GKwGiB2UwyM&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=8",
2HHC-09,mov_09_sc,"Shield Cast",,"https://www.youtube.com/watch?v=W-iHvrjn72k&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=9",
2HHC-10,mov_10_squat,"Balance Squat",,"https://www.youtube.com/watch?v=LSXticZ67Pw&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=11",
2HHC-11,mov_11_swingclean,"Swing Clean","DECELERATE WEIGHT","https://www.youtube.com/watch?v=0oRuCQOkPRo&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=12",
2HHC-12,mov_12_robotsc,"Robot Shield Cast",,"https://www.youtube.com/watch?v=LDGi_lmzGR8&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=13",
2HHC-13,mov_13_frontpress,"Front Press",,"https://www.youtube.com/watch?v=HBRWtm3tTp4&list=PLk4oYPJ7TXKiueHS7UMPv-DxNMK6UELds&index=15",
