ID,Graph_Name,Label,Skill_Developed,URL
SAHC-01,mov_01_s2s,Side to Side Swing,ELBOWS LOCKED,https://www.youtube.com/watch?v=cosgyt2BQG4
SAHC-02,mov_02_incircle,Inside Circle,,https://www.youtube.com/watch?v=-gtRj1KEUmw
SAHC-03,mov_03_outcircle,Outside Circle,,https://www.youtube.com/watch?v=Mf2QuZvRtQ4
SAHC-04,mov_04_pullover,Pullover,,https://www.youtube.com/watch?v=HHT6TrTLJM8
SAHC-05,mov_05_backs2s,Back Position Swing,THUMB TO SHIRT,https://www.youtube.com/watch?v=sxePeWDR1U0
SAHC-06,mov_06_perry,Perry Cast\naka Bailout,SAFE FAILURE,https://www.youtube.com/watch?v=FpUecSrX_AI
SAHC-07,mov_07_sc,Shield Cast,,https://www.youtube.com/watch?v=huwc0g3yLWk
SAHC-08,mov_08_sideswingl2h,Side Swing\nLow to High\nwith Stop,HIP SNAP,https://www.youtube.com/watch?v=0_wHseV7B-o
SAHC-09,mov_09_s2srockit,Side to Side Rockit,,https://www.youtube.com/watch?v=I26O1ct_hik
SAHC-10,mov_10_sideswingl2hcont,Side Swing\nLow to High\nContinuous,,https://www.youtube.com/watch?v=_Yd8I7U44mw
SAHC-11,mov_11_altcircle,Alternating Circle,,https://www.youtube.com/watch?v=yuJNSETl-tI
SAHC-12,mov_12_outpend,Outside Pendulum,,https://www.youtube.com/watch?v=q8l1G7UoERA
SAHC-13,mov_13_inpend,Inside Pendulum,,https://www.youtube.com/watch?v=4LqqrNosRiI
SAHC-14,mov_14_outpull,Outside Pullover,+ EXT ROTATION,https://www.youtube.com/watch?v=sJ5XCgdCMx8
SAHC-15,mov_15_inpull,Inside Pullover,+ INT ROTATION,https://www.youtube.com/watch?v=DQg80eX08hg
SAHC-16,mov_16_altpend,Alternating Pendulum,,https://www.youtube.com/watch?v=eIkqXJ5d7V4
SAHC-17,mov_17_millprep,Mill Prep,,https://www.youtube.com/watch?v=TSjIEfyJGKY
SAHC-18,mov_18_alt180pull,Alternating 180 Degree\nPullover,,https://www.youtube.com/watch?v=brM1Ybg9v7E
SAHC-19,mov_19_mill,Mill,,https://www.youtube.com/watch?v=0fm3VX0iKnA
SAHC-20,mov_20_revmill,Reverse Mill,,https://www.youtube.com/watch?v=B8YWWwRB8fo
SAHC-21,mov_21_outcirclesc,Outside Circle\nShield Cast,ORDER POS IN MILL,https://www.youtube.com/watch?v=NdJlzFTbQwo
SAHC-22,mov_22_outpendoutpull,Outside Pendulum\nOutside Pullover,,https://www.youtube.com/watch?v=b0Ztc-54C_Y
SAHC-23,mov_23_outpull3count,Outside Pullover\n3 Count,,https://www.youtube.com/watch?v=_hJaJVaMPtE
SAHC-24,mov_24_outpendoutpull3c,Outside Pendulum\nOutside Pullover\n3 Count,,https://www.youtube.com/watch?v=FauiblV5PHg
SAHC-25,mov_25_inpendinpull,Inside Pendulum\nInside Pullover,,https://www.youtube.com/watch?v=VFaO93BsNaA
SAHC-26,mov_26_inpull3count,Inside Pullover\n3 Count,,https://www.youtube.com/watch?v=lBKIaQ6iej8
SAHC-27,mov_27_inpendinpull3c,Inside Pendulum\nInside Pullover\n3 Count,,https://www.youtube.com/watch?v=Vv4rdCks2f8
