"ID","Graph_Name","Label","Skill_Developed","Playlist_URL","Standalone_URL"
KB-01,mov_01_deadlift,"Two Hand Deadlift","HIP HINGE","https://www.youtube.com/watch?v=x0XkmM34BPI&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=1",
KB-02,mov_02_swing,"Two Hand Swing","LEG DRIVE &\nHIP SNAP","https://www.youtube.com/watch?v=m-S9H2XVvYg&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=2",
KB-03,mov_03_atw,"Around the World","HAND TRANSITION","https://www.youtube.com/watch?v=XaegZzSbtr0&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=3",
KB-04,mov_04_halo,"Halo","GLOBE UP\nORDER POSITION","https://www.youtube.com/watch?v=25xdtjbFPtw&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=4",
KB-05,mov_05_atwf2b,"Around the World\nFront to Back",,"https://www.youtube.com/watch?v=TwlQQXAQpaQ&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=5",
KB-06,mov_06_atwb2f,"Around the World\nBack to Front",,"https://www.youtube.com/watch?v=GrRO00YOIWM&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=6",
KB-07,mov_07_althalo,"Alternating Halo",,"https://www.youtube.com/watch?v=SMpquy5zSL4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=7",
KB-08,mov_08_2hu1hd,"Two Hand Pickup\nOne Hand Putdown","RACK POSITION","https://www.youtube.com/watch?v=eMkDP9VmMc0&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=8",
KB-09,mov_09_saswing,"Single Arm Swing","THUMB POINTS BACK","https://www.youtube.com/watch?v=ejPpyLKZ1L4&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=9",
KB-10,mov_10_h2h,"Hand to Hand\nTransition",,"https://www.youtube.com/watch?v=0Uk0Rdm3QFs&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=10",
KB-11,mov_11_2hucleandown,"Two Hand Pickup\nClean Putdown",,"https://www.youtube.com/watch?v=cQC2y-ByaAw&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=11",
KB-12,mov_12_clean,"Swing Clean",,"https://www.youtube.com/watch?v=_nIsSXWs5iU&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=12",
KB-13,mov_13_cleanh2h,"Clean with\nHand Transition",,"https://www.youtube.com/watch?v=6TVqHl2gtuM&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=13",
KB-14,mov_14_press,"Single Arm\nOverhead Press",,"https://www.youtube.com/watch?v=XHkI03S6Pls&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=14",
KB-15,mov_15_news,"Newspaper drill",,"https://www.youtube.com/watch?v=htByOXjHLXE&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=15",
KB-16,mov_16_startstopclean,"Start Stop Clean","START & END CLEAN","https://www.youtube.com/watch?v=XbK3jxI0WNQ&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=16",
KB-17,mov_17_cap,"Clean & Press",,"https://www.youtube.com/watch?v=SSxB3m5qRas&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=17",
KB-18,mov_18_caph2h,"Clean & Press with\nHand Transition",,"https://www.youtube.com/watch?v=5Q4vMOYvAGg&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=18",
KB-19,mov_19_startstopcap,"Start Stop\nClean & Press","START & END C&P","https://www.youtube.com/watch?v=dSj3kqbuois&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=19",
KB-20,mov_20_gobboxsquat,"Bottoms-Up Goblet\nBox Squat","SQUAT BACK","https://www.youtube.com/watch?v=k5Bc7pkEmrU&list=PLk4oYPJ7TXKhX8YqA2AVrfgs_pEF6p7KA&index=20",
