ID,Graph_Name,Label,URL,VariationCount,VariationDescription,VarIcon,Hands,IsolateOrIntegrate
M-01,mov_01_360,360,https://www.youtube.com/watch?v=TyZ8iYv6Ip0,4,(Left/Right) * (Cross/Straight),LX,2,S
M-02,mov_02_alt360,Alternating 360\n(Gama Cast/10 to 2),https://www.youtube.com/watch?v=ccifkBh2JSI,2,(Left-hand Low/Right-hand Low),L,2,N
M-03-1,mov_031_prayer,Prayer transition,https://www.youtube.com/watch?v=0fjn0vidH2M,1,,,2,S
M-03-2,mov_032_pray2360,Prayer transition\nto 360,https://www.youtube.com/watch?v=0fjn0vidH2M,1,,,2,N
M-04-1,mov_041_barbell,Barbell transition,https://www.youtube.com/watch?v=WQjHBHoC-MQ,1,,,2,S
M-04-2,mov_042_barbell2360,Barbell transition to 360,https://www.youtube.com/watch?v=WQjHBHoC-MQ,1,,,2,N
M-05-1,mov_051_sabackswing,Single arm\nback position swing,https://www.youtube.com/watch?v=XN-5l6SiSZU,2,Left/Right,L,2,S
M-05-2,mov_052_backswing,Back position swing,https://www.youtube.com/watch?v=XN-5l6SiSZU,2,Left/Right,L,1,S
M-06-1,mov_061_uppercut,90 degree pivot uppercut,https://www.youtube.com/watch?v=ULFal2-zDt0,1,Left/Right,L,2,S
M-06-2,mov_062_uppercut2360,90 degree pivot uppercut to 360,https://www.youtube.com/watch?v=ULFal2-zDt0,1,,,2,N
M-07,mov_07_invs2sswing,Inverted side to side swings,https://www.youtube.com/watch?v=bLA2KSghSdc,2,,,2,S
M-08-1,mov_081_lowblockspin,Low block spin,https://www.youtube.com/watch?v=fk8AG0s1-UI,2,Left/Right,L,2,S
M-08-2,mov_082_lowblockspinwpray,Low block spin with\nprayer transition,https://www.youtube.com/watch?v=fk8AG0s1-UI,1,,,2,N
M-09,mov_09_lowblockspinw360,Low block spin with\n360 transition,https://www.youtube.com/watch?v=GXMSVSDtJVc,1,,,2,N
M-10-1,mov_101_martialspin,Simple martial spin,https://www.youtube.com/watch?v=p_VgqCIGb-E,2,Left/Right,L,2,S
M-10-2,mov_102_samartialspin,Single arm martial spin,https://www.youtube.com/watch?v=p_VgqCIGb-E,2,Left/Right,L,1,S
M-11,mov_11_paddlerow2upblock,Paddle row to upper block,https://www.youtube.com/watch?v=4or7Sb8HyaU,2,Left/Right,L,2,S
M-13,mov_13_pray23602sq,Horizontal prayer transition to 360 to squat,https://www.youtube.com/watch?v=2yUz84zdBlk,2,(Box squat/Free squat),T,2,N
M-14,mov_14_barpress2sq,Barbell transition press\nto squat,https://www.youtube.com/watch?v=kZK8Eq6ka0U,4,(Left/Right) * (Box squat/Free squat),LT,2,S
M-15,mov_15_3602bar2sq,360 to barbell transition\nto squat,https://www.youtube.com/watch?v=S6LDBK1o48U,2,(Target squat/No-target squat),LT,2,N
M-16,mov_16_saincircle,Single arm\ninside circle,https://www.youtube.com/watch?v=MSt1cYAiLzI,2,Left/Right,L,1,S
